negocio,data,categoria,valor
bar,2025-01-03,operacional,209.37
bar,2025-01-04,operacional,209.37
bar,2025-01-05,operacional,209.37
bar,2025-01-05,folha,18843.73
bar,2025-01-06,operacional,209.37
bar,2025-01-07,operacional,209.37
bar,2025-01-07,fornecedor,6448.74
bar,2025-01-08,operacional,209.37
bar,2025-01-09,operacional,209.37
bar,2025-01-10,operacional,209.37
bar,2025-01-10,aluguel,8793.74
bar,2025-01-11,operacional,209.37
bar,2025-01-12,operacional,209.37
bar,2025-01-13,operacional,209.37
bar,2025-01-14,operacional,209.37
bar,2025-01-14,fornecedor,6448.74
bar,2025-01-15,operacional,209.37
bar,2025-01-16,operacional,209.37
bar,2025-01-17,operacional,209.37
bar,2025-01-18,operacional,209.37
bar,2025-01-19,operacional,209.37
bar,2025-01-20,operacional,209.37
bar,2025-01-20,folha,18843.73
bar,2025-01-20,imposto,4496.83
bar,2025-01-21,operacional,209.37
bar,2025-01-21,fornecedor,6448.74
bar,2025-01-22,operacional,209.37
bar,2025-01-23,operacional,209.37
bar,2025-01-24,operacional,209.37
bar,2025-01-25,operacional,209.37
bar,2025-01-26,operacional,209.37
bar,2025-01-27,operacional,209.37
bar,2025-01-28,operacional,209.37
bar,2025-01-28,fornecedor,6448.74
bar,2025-01-29,operacional,209.37
bar,2025-01-30,operacional,209.37
bar,2025-01-31,operacional,209.37
bar,2025-02-01,operacional,209.37
bar,2025-02-02,operacional,209.37
bar,2025-02-03,operacional,209.37
bar,2025-02-04,operacional,209.37
bar,2025-02-04,fornecedor,6448.74
bar,2025-02-05,operacional,209.37
bar,2025-02-05,folha,18843.73
bar,2025-02-06,operacional,209.37
bar,2025-02-07,operacional,209.37
bar,2025-02-08,operacional,209.37
bar,2025-02-09,operacional,209.37
bar,2025-02-10,operacional,209.37
bar,2025-02-10,aluguel,8793.74
bar,2025-02-11,operacional,209.37
bar,2025-02-11,fornecedor,6448.74
bar,2025-02-12,operacional,209.37
bar,2025-02-13,operacional,209.37
bar,2025-02-14,operacional,209.37
bar,2025-02-15,operacional,209.37
bar,2025-02-16,operacional,209.37
bar,2025-02-17,operacional,209.37
bar,2025-02-18,operacional,209.37
bar,2025-02-18,fornecedor,6448.74
bar,2025-02-19,operacional,209.37
bar,2025-02-20,operacional,209.37
bar,2025-02-20,folha,18843.73
bar,2025-02-20,imposto,7779.8
bar,2025-02-21,operacional,209.37
bar,2025-02-22,operacional,209.37
bar,2025-02-23,operacional,209.37
bar,2025-02-24,operacional,209.37
bar,2025-02-25,operacional,209.37
bar,2025-02-25,fornecedor,6448.74
bar,2025-02-26,operacional,209.37
bar,2025-02-27,operacional,209.37
bar,2025-02-28,operacional,209.37
bar,2025-03-01,operacional,209.37
bar,2025-03-02,operacional,209.37
bar,2025-03-03,operacional,209.37
bar,2025-03-04,operacional,209.37
bar,2025-03-04,fornecedor,6448.74
bar,2025-03-05,operacional,209.37
bar,2025-03-05,folha,18843.73
bar,2025-03-06,operacional,209.37
bar,2025-03-07,operacional,209.37
bar,2025-03-08,operacional,209.37
bar,2025-03-09,operacional,209.37
bar,2025-03-10,operacional,209.37
bar,2025-03-10,aluguel,8793.74
bar,2025-03-11,operacional,209.37
bar,2025-03-11,fornecedor,6448.74
bar,2025-03-12,operacional,209.37
bar,2025-03-13,operacional,209.37
bar,2025-03-14,operacional,209.37
bar,2025-03-15,operacional,209.37
bar,2025-03-16,operacional,209.37
bar,2025-03-17,operacional,209.37
bar,2025-03-18,operacional,209.37
bar,2025-03-18,fornecedor,6448.74
bar,2025-03-19,operacional,209.37
