negocio,produto,data,quantidade
bar,cerveja_600,2026-06-17,6
bar,cerveja_600,2026-06-18,6
bar,cerveja_600,2026-06-19,18
bar,cerveja_600,2026-06-20,13
bar,cerveja_600,2026-06-21,2
bar,cerveja_600,2026-06-22,9
bar,cerveja_600,2026-06-23,8
bar,cerveja_600,2026-06-24,11
bar,cerveja_600,2026-06-25,11
bar,cerveja_600,2026-06-26,16
bar,cerveja_600,2026-06-27,20
bar,cerveja_600,2026-06-28,4
bar,cerveja_600,2026-06-29,2
bar,cerveja_600,2026-06-30,12
bar,cerveja_600,2026-07-01,5
bar,cerveja_600,2026-07-02,9
bar,cerveja_600,2026-07-03,17
bar,cerveja_600,2026-07-04,20
bar,cerveja_600,2026-07-05,11
bar,cerveja_600,2026-07-06,5
bar,cerveja_600,2026-07-07,10
bar,cerveja_600,2026-07-08,9
bar,cerveja_600,2026-07-09,8
bar,cerveja_600,2026-07-10,24
bar,cerveja_600,2026-07-11,19
bar,cerveja_600,2026-07-12,4
bar,cerveja_600,2026-07-13,6
bar,cerveja_600,2026-07-14,5
bar,cerveja_600,2026-07-15,7
bar,cerveja_600,2026-07-16,9
bar,cerveja_600,2026-07-17,14
bar,cerveja_600,2026-07-18,9
bar,cerveja_600,2026-07-19,6
bar,cerveja_600,2026-07-20,6
bar,cerveja_600,2026-07-21,7
bar,cerveja_600,2026-07-22,5
bar,cerveja_600,2026-07-23,10
bar,cerveja_600,2026-07-24,15
bar,cerveja_600,2026-07-25,10
bar,cerveja_600,2026-07-26,6
bar,cerveja_600,2026-07-27,4
bar,cerveja_600,2026-07-28,5
bar,cerveja_600,2026-07-29,11
bar,cerveja_600,2026-07-30,10
bar,cerveja_600,2026-07-31,8
bar,cerveja_600,2026-08-01,16
bar,cerveja_600,2026-08-02,5
bar,cerveja_600,2026-08-03,13
bar,cerveja_600,2026-08-04,8
bar,cerveja_600,2026-08-05,4
bar,cerveja_600,2026-08-06,6
bar,cerveja_600,2026-08-07,8
bar,cerveja_600,2026-08-08,6
bar,cerveja_600,2026-08-09,6
bar,cerveja_600,2026-08-10,3
bar,cerveja_600,2026-08-11,7
bar,cerveja_600,2026-08-12,7
bar,cerveja_600,2026-08-13,10
bar,cerveja_600,2026-08-14,19
bar,cerveja_600,2026-08-15,18
bar,cerveja_600,2026-08-16,5
bar,cerveja_600,2026-08-17,12
bar,cerveja_600,2026-08-18,2
bar,cerveja_600,2026-08-19,11
bar,cerveja_600,2026-08-20,10
bar,cerveja_600,2026-08-21,19
bar,cerveja_600,2026-08-22,17
bar,cerveja_600,2026-08-23,8
bar,cerveja_600,2026-08-24,15
bar,cerveja_600,2026-08-25,9
bar,cerveja_600,2026-08-26,4
bar,cerveja_600,2026-08-27,9
bar,cerveja_600,2026-08-28,9
bar,cerveja_600,2026-08-29,17
bar,cerveja_600,2026-08-30,11
bar,cerveja_600,2026-08-31,7
bar,cerveja_600,2026-09-01,9
bar,cerveja_600,2026-09-02,8
bar,cerveja_600,2026-09-03,7
bar,cerveja_600,2026-09-04,14
bar,cerveja_600,2026-09-05,12
bar,cerveja_600,2026-09-06,5
bar,cerveja_600,2026-09-07,9
bar,cerveja_600,2026-09-08,7
bar,cerveja_600,2026-09-09,5
bar,cerveja_600,2026-09-10,11
bar,cerveja_600,2026-09-11,15
bar,cerveja_600,2026-09-12,12
bar,cerveja_600,2026-09-13,6
bar,cerveja_600,2026-09-14,10
bar,refrigerante_lata,2026-06-17,6
bar,refrigerante_lata,2026-06-18,11
bar,refrigerante_lata,2026-06-19,8
bar,refrigerante_lata,2026-06-20,11
bar,refrigerante_lata,2026-06-21,4
bar,refrigerante_lata,2026-06-22,4
bar,refrigerante_lata,2026-06-23,4
bar,refrigerante_lata,2026-06-24,1
bar,refrigerante_lata,2026-06-25,7
bar,refrigerante_lata,2026-06-26,11
bar,refrigerante_lata,2026-06-27,14
bar,refrigerante_lata,2026-06-28,4
bar,refrigerante_lata,2026-06-29,9
bar,refrigerante_lata,2026-06-30,5
bar,refrigerante_lata,2026-07-01,5
bar,refrigerante_lata,2026-07-02,8
bar,refrigerante_lata,2026-07-03,8
bar,refrigerante_lata,2026-07-04,11
bar,refrigerante_lata,2026-07-05,2
bar,refrigerante_lata,2026-07-06,3
bar,refrigerante_lata,2026-07-07,7
bar,refrigerante_lata,2026-07-08,4
bar,refrigerante_lata,2026-07-09,11
bar,refrigerante_lata,2026-07-10,14
bar,refrigerante_lata,2026-07-11,14
bar,refrigerante_lata,2026-07-12,3
bar,refrigerante_lata,2026-07-13,4
bar,refrigerante_lata,2026-07-14,7
bar,refrigerante_lata,2026-07-15,4
bar,refrigerante_lata,2026-07-16,6
bar,refrigerante_lata,2026-07-17,5
bar,refrigerante_lata,2026-07-18,12
bar,refrigerante_lata,2026-07-19,6
bar,refrigerante_lata,2026-07-20,3
bar,refrigerante_lata,2026-07-21,4
bar,refrigerante_lata,2026-07-22,6
bar,refrigerante_lata,2026-07-23,13
bar,refrigerante_lata,2026-07-24,8
bar,refrigerante_lata,2026-07-25,10
bar,refrigerante_lata,2026-07-26,7
bar,refrigerante_lata,2026-07-27,5
bar,refrigerante_lata,2026-07-28,5
bar,refrigerante_lata,2026-07-29,3
bar,refrigerante_lata,2026-07-30,11
bar,refrigerante_lata,2026-07-31,3
bar,refrigerante_lata,2026-08-01,9
bar,refrigerante_lata,2026-08-02,7
bar,refrigerante_lata,2026-08-03,5
bar,refrigerante_lata,2026-08-04,2
bar,refrigerante_lata,2026-08-05,6
bar,refrigerante_lata,2026-08-06,9
bar,refrigerante_lata,2026-08-07,6
bar,refrigerante_lata,2026-08-08,13
bar,refrigerante_lata,2026-08-09,6
bar,refrigerante_lata,2026-08-10,4
bar,refrigerante_lata,2026-08-11,3
bar,refrigerante_lata,2026-08-12,9
bar,refrigerante_lata,2026-08-13,5
bar,refrigerante_lata,2026-08-14,12
bar,refrigerante_lata,2026-08-15,13
bar,refrigerante_lata,2026-08-16,6
bar,refrigerante_lata,2026-08-17,4
bar,refrigerante_lata,2026-08-18,7
bar,refrigerante_lata,2026-08-19,7
bar,refrigerante_lata,2026-08-20,9
bar,refrigerante_lata,2026-08-21,8
bar,refrigerante_lata,2026-08-22,9
bar,refrigerante_lata,2026-08-23,3
bar,refrigerante_lata,2026-08-24,6
bar,refrigerante_lata,2026-08-25,6
bar,refrigerante_lata,2026-08-26,1
bar,refrigerante_lata,2026-08-27,4
bar,refrigerante_lata,2026-08-28,11
bar,refrigerante_lata,2026-08-29,9
bar,refrigerante_lata,2026-08-30,8
bar,refrigerante_lata,2026-08-31,4
bar,refrigerante_lata,2026-09-01,6
bar,refrigerante_lata,2026-09-02,7
bar,refrigerante_lata,2026-09-03,12
bar,refrigerante_lata,2026-09-04,15
bar,refrigerante_lata,2026-09-05,6
bar,refrigerante_lata,2026-09-06,3
bar,refrigerante_lata,2026-09-07,3
bar,refrigerante_lata,2026-09-08,3
bar,refrigerante_lata,2026-09-09,6
bar,refrigerante_lata,2026-09-10,8
bar,refrigerante_lata,2026-09-11,14
bar,refrigerante_lata,2026-09-12,10
bar,refrigerante_lata,2026-09-13,1
bar,refrigerante_lata,2026-09-14,0
bar,batata_rustica,2026-06-17,8
bar,batata_rustica,2026-06-18,5
bar,batata_rustica,2026-06-19,8
bar,batata_rustica,2026-06-20,6
bar,batata_rustica,2026-06-21,4
bar,batata_rustica,2026-06-22,3
bar,batata_rustica,2026-06-23,7
bar,batata_rustica,2026-06-24,3
bar,batata_rustica,2026-06-25,4
bar,batata_rustica,2026-06-26,13
bar,batata_rustica,2026-06-27,4
bar,batata_rustica,2026-06-28,3
bar,batata_rustica,2026-06-29,1
bar,batata_rustica,2026-06-30,2
bar,batata_rustica,2026-07-01,3
bar,batata_rustica,2026-07-02,3
bar,batata_rustica,2026-07-03,4
bar,batata_rustica,2026-07-04,9
bar,batata_rustica,2026-07-05,2
bar,batata_rustica,2026-07-06,3
bar,batata_rustica,2026-07-07,3
bar,batata_rustica,2026-07-08,2
bar,batata_rustica,2026-07-09,6
bar,batata_rustica,2026-07-10,8
bar,batata_rustica,2026-07-11,8
bar,batata_rustica,2026-07-12,1
bar,batata_rustica,2026-07-13,3
bar,batata_rustica,2026-07-14,3
bar,batata_rustica,2026-07-15,0
bar,batata_rustica,2026-07-16,4
bar,batata_rustica,2026-07-17,6
bar,batata_rustica,2026-07-18,8
bar,batata_rustica,2026-07-19,0
bar,batata_rustica,2026-07-20,3
bar,batata_rustica,2026-07-21,3
bar,batata_rustica,2026-07-22,3
bar,batata_rustica,2026-07-23,3
bar,batata_rustica,2026-07-24,7
bar,batata_rustica,2026-07-25,9
bar,batata_rustica,2026-07-26,8
bar,batata_rustica,2026-07-27,4
bar,batata_rustica,2026-07-28,3
bar,batata_rustica,2026-07-29,5
bar,batata_rustica,2026-07-30,8
bar,batata_rustica,2026-07-31,5
bar,batata_rustica,2026-08-01,11
bar,batata_rustica,2026-08-02,3
bar,batata_rustica,2026-08-03,1
bar,batata_rustica,2026-08-04,4
bar,batata_rustica,2026-08-05,4
bar,batata_rustica,2026-08-06,5
bar,batata_rustica,2026-08-07,7
bar,batata_rustica,2026-08-08,4
bar,batata_rustica,2026-08-09,0
bar,batata_rustica,2026-08-10,4
bar,batata_rustica,2026-08-11,1
bar,batata_rustica,2026-08-12,2
bar,batata_rustica,2026-08-13,2
bar,batata_rustica,2026-08-14,5
bar,batata_rustica,2026-08-15,10
bar,batata_rustica,2026-08-16,4
bar,batata_rustica,2026-08-17,1
bar,batata_rustica,2026-08-18,3
bar,batata_rustica,2026-08-19,5
bar,batata_rustica,2026-08-20,5
bar,batata_rustica,2026-08-21,6
bar,batata_rustica,2026-08-22,6
bar,batata_rustica,2026-08-23,0
bar,batata_rustica,2026-08-24,5
bar,batata_rustica,2026-08-25,3
bar,batata_rustica,2026-08-26,2
bar,batata_rustica,2026-08-27,8
bar,batata_rustica,2026-08-28,9
bar,batata_rustica,2026-08-29,3
bar,batata_rustica,2026-08-30,3
bar,batata_rustica,2026-08-31,4
bar,batata_rustica,2026-09-01,2
bar,batata_rustica,2026-09-02,6
bar,batata_rustica,2026-09-03,2
bar,batata_rustica,2026-09-04,6
