negocio,data,modalidade,valor_bruto
bar,2025-01-03,pix,2180.16
bar,2025-01-03,debito,1966.71
bar,2025-01-03,credito_vista,1880.48
bar,2025-01-03,credito_4x,737.67
bar,2025-01-04,pix,1795.84
bar,2025-01-04,debito,2088.95
bar,2025-01-04,credito_vista,1476.81
bar,2025-01-04,credito_4x,670.94
bar,2025-01-05,pix,1133.01
bar,2025-01-05,debito,1032.58
bar,2025-01-05,credito_vista,709.99
bar,2025-01-05,credito_4x,607.85
bar,2025-01-06,pix,1204.03
bar,2025-01-06,debito,1123.26
bar,2025-01-06,credito_vista,795.37
bar,2025-01-06,credito_4x,454.54
bar,2025-01-07,pix,875.33
bar,2025-01-07,debito,719.32
bar,2025-01-07,credito_vista,581.35
bar,2025-01-07,credito_4x,202.82
bar,2025-01-08,pix,1263.18
bar,2025-01-08,debito,703.69
bar,2025-01-08,credito_vista,729.45
bar,2025-01-08,credito_4x,374.49
bar,2025-01-09,pix,1294.85
bar,2025-01-09,debito,1220.16
bar,2025-01-09,credito_vista,1359.56
bar,2025-01-09,credito_4x,477.82
bar,2025-01-10,pix,1996.11
bar,2025-01-10,debito,2022.72
bar,2025-01-10,credito_vista,1453.1
bar,2025-01-10,credito_4x,744.72
bar,2025-01-11,pix,2449.15
bar,2025-01-11,debito,1628.68
bar,2025-01-11,credito_vista,1794.07
bar,2025-01-11,credito_4x,666.39
bar,2025-01-12,pix,911.34
bar,2025-01-12,debito,819.65
bar,2025-01-12,credito_vista,593.31
bar,2025-01-12,credito_4x,179.57
bar,2025-01-13,pix,987.03
bar,2025-01-13,debito,1059.03
bar,2025-01-13,credito_vista,728.02
bar,2025-01-13,credito_4x,479.93
bar,2025-01-14,pix,1123.87
bar,2025-01-14,debito,1006.7
bar,2025-01-14,credito_vista,961.52
bar,2025-01-14,credito_4x,351.63
bar,2025-01-15,pix,1274.59
bar,2025-01-15,debito,861.25
bar,2025-01-15,credito_vista,949.93
bar,2025-01-15,credito_4x,448.27
bar,2025-01-16,pix,1341.44
bar,2025-01-16,debito,1306.95
bar,2025-01-16,credito_vista,1437.45
bar,2025-01-16,credito_4x,492.09
bar,2025-01-17,pix,2150.28
bar,2025-01-17,debito,1803.12
bar,2025-01-17,credito_vista,1615.81
bar,2025-01-17,credito_4x,834.44
bar,2025-01-18,pix,1688.42
bar,2025-01-18,debito,1958.98
bar,2025-01-18,credito_vista,1368.57
bar,2025-01-18,credito_4x,742.89
bar,2025-01-19,pix,1236.79
bar,2025-01-19,debito,778.36
bar,2025-01-19,credito_vista,761.89
bar,2025-01-19,credito_4x,278.89
bar,2025-01-20,pix,947.4
bar,2025-01-20,debito,552.39
bar,2025-01-20,credito_vista,638.43
bar,2025-01-20,credito_4x,343.99
bar,2025-01-21,pix,1287.92
bar,2025-01-21,debito,1013.44
bar,2025-01-21,credito_vista,908.61
bar,2025-01-21,credito_4x,309.79
bar,2025-01-22,pix,1381.07
bar,2025-01-22,debito,955.25
bar,2025-01-22,credito_vista,857.65
bar,2025-01-22,credito_4x,308.37
bar,2025-01-23,pix,1227.37
bar,2025-01-23,debito,995.05
bar,2025-01-23,credito_vista,1189.73
bar,2025-01-23,credito_4x,426.88
bar,2025-01-24,pix,1955.72
bar,2025-01-24,debito,1373.4
bar,2025-01-24,credito_vista,1332.34
bar,2025-01-24,credito_4x,755.94
bar,2025-01-25,pix,1938.22
bar,2025-01-25,debito,2297.91
bar,2025-01-25,credito_vista,2152.18
bar,2025-01-25,credito_4x,710.74
bar,2025-01-26,pix,865.07
bar,2025-01-26,debito,809.87
bar,2025-01-26,credito_vista,621.0
bar,2025-01-26,credito_4x,270.7
bar,2025-01-27,pix,843.76
bar,2025-01-27,debito,736.93
bar,2025-01-27,credito_vista,603.23
bar,2025-01-27,credito_4x,277.59
bar,2025-01-28,pix,1032.75
bar,2025-01-28,debito,768.08
bar,2025-01-28,credito_vista,642.63
bar,2025-01-28,credito_4x,229.08
bar,2025-01-29,pix,1137.09
bar,2025-01-29,debito,1096.21
bar,2025-01-29,credito_vista,914.62
bar,2025-01-29,credito_4x,309.04
bar,2025-01-30,pix,1077.71
bar,2025-01-30,debito,932.19
bar,2025-01-30,credito_vista,1164.0
bar,2025-01-30,credito_4x,604.37
bar,2025-01-31,pix,2029.15
bar,2025-01-31,debito,1375.99
bar,2025-01-31,credito_vista,1914.02
bar,2025-01-31,credito_4x,492.83
bar,2025-02-01,pix,2460.98
bar,2025-02-01,debito,2394.56
bar,2025-02-01,credito_vista,2045.58
bar,2025-02-01,credito_4x,965.81
bar,2025-02-02,pix,1302.54
bar,2025-02-02,debito,1200.53
bar,2025-02-02,credito_vista,1268.72
bar,2025-02-02,credito_4x,504.2
bar,2025-02-03,pix,914.58
bar,2025-02-03,debito,823.8
bar,2025-02-03,credito_vista,863.01
bar,2025-02-03,credito_4x,440.88
bar,2025-02-04,pix,921.65
bar,2025-02-04,debito,967.78
bar,2025-02-04,credito_vista,886.52
bar,2025-02-04,credito_4x,431.89
bar,2025-02-05,pix,1122.36
bar,2025-02-05,debito,911.93
bar,2025-02-05,credito_vista,1173.68
bar,2025-02-05,credito_4x,253.05
bar,2025-02-06,pix,1600.07
bar,2025-02-06,debito,1382.42
bar,2025-02-06,credito_vista,1298.36
bar,2025-02-06,credito_4x,537.23
bar,2025-02-07,pix,2803.85
bar,2025-02-07,debito,2292.63
bar,2025-02-07,credito_vista,1975.58
bar,2025-02-07,credito_4x,807.84
bar,2025-02-08,pix,2470.13
bar,2025-02-08,debito,2110.35
bar,2025-02-08,credito_vista,1739.11
bar,2025-02-08,credito_4x,996.5
bar,2025-02-09,pix,952.99
bar,2025-02-09,debito,841.29
bar,2025-02-09,credito_vista,778.7
bar,2025-02-09,credito_4x,275.9
bar,2025-02-10,pix,1001.83
bar,2025-02-10,debito,793.57
bar,2025-02-10,credito_vista,735.51
bar,2025-02-10,credito_4x,328.43
bar,2025-02-11,pix,1152.65
bar,2025-02-11,debito,1107.58
bar,2025-02-11,credito_vista,918.82
bar,2025-02-11,credito_4x,312.58
bar,2025-02-12,pix,1424.87
bar,2025-02-12,debito,1075.43
bar,2025-02-12,credito_vista,1039.17
bar,2025-02-12,credito_4x,471.64
bar,2025-02-13,pix,1577.21
bar,2025-02-13,debito,1311.26
bar,2025-02-13,credito_vista,893.57
bar,2025-02-13,credito_4x,584.0
bar,2025-02-14,pix,1732.05
bar,2025-02-14,debito,1457.74
bar,2025-02-14,credito_vista,1446.78
bar,2025-02-14,credito_4x,915.35
bar,2025-02-15,pix,2171.54
bar,2025-02-15,debito,2019.76
bar,2025-02-15,credito_vista,1815.83
bar,2025-02-15,credito_4x,1041.94
bar,2025-02-16,pix,1006.47
bar,2025-02-16,debito,884.44
bar,2025-02-16,credito_vista,687.87
bar,2025-02-16,credito_4x,456.29
bar,2025-02-17,pix,893.48
bar,2025-02-17,debito,939.24
bar,2025-02-17,credito_vista,845.56
bar,2025-02-17,credito_4x,405.14
bar,2025-02-18,pix,1012.33
bar,2025-02-18,debito,956.53
bar,2025-02-18,credito_vista,1045.67
bar,2025-02-18,credito_4x,605.47
bar,2025-02-19,pix,1225.11
bar,2025-02-19,debito,1133.3
bar,2025-02-19,credito_vista,966.09
bar,2025-02-19,credito_4x,428.79
bar,2025-02-20,pix,1407.02
bar,2025-02-20,debito,1219.91
bar,2025-02-20,credito_vista,1243.51
bar,2025-02-20,credito_4x,605.36
bar,2025-02-21,pix,2035.04
bar,2025-02-21,debito,1828.88
bar,2025-02-21,credito_vista,1561.67
bar,2025-02-21,credito_4x,842.5
bar,2025-02-22,pix,2408.75
bar,2025-02-22,debito,2165.25
bar,2025-02-22,credito_vista,2032.98
bar,2025-02-22,credito_4x,542.84
bar,2025-02-23,pix,885.74
bar,2025-02-23,debito,968.37
bar,2025-02-23,credito_vista,1060.59
bar,2025-02-23,credito_4x,369.83
bar,2025-02-24,pix,728.51
bar,2025-02-24,debito,731.4
bar,2025-02-24,credito_vista,665.53
bar,2025-02-24,credito_4x,220.98
bar,2025-02-25,pix,1066.35
bar,2025-02-25,debito,723.51
bar,2025-02-25,credito_vista,691.24
bar,2025-02-25,credito_4x,277.66
bar,2025-02-26,pix,975.18
bar,2025-02-26,debito,954.74
bar,2025-02-26,credito_vista,712.26
bar,2025-02-26,credito_4x,412.45
bar,2025-02-27,pix,1187.98
bar,2025-02-27,debito,942.75
bar,2025-02-27,credito_vista,836.76
bar,2025-02-27,credito_4x,356.08
bar,2025-02-28,pix,1594.36
bar,2025-02-28,debito,1822.92
bar,2025-02-28,credito_vista,1356.84
bar,2025-02-28,credito_4x,608.65
bar,2025-03-01,pix,2808.81
bar,2025-03-01,debito,3094.79
bar,2025-03-01,credito_vista,2212.36
bar,2025-03-01,credito_4x,1160.48
bar,2025-03-02,pix,1046.01
bar,2025-03-02,debito,828.1
bar,2025-03-02,credito_vista,615.75
bar,2025-03-02,credito_4x,396.62
bar,2025-03-03,pix,1223.35
