empresa,data_venda,modalidade,valor_bruto,taxa_hipotetica,parcelas,prazo_primeira_liquidacao_dias
bar,2026-06-17,pix,1164.61,0.0,1,0
bar,2026-06-17,debito,959.09,0.012,1,1
bar,2026-06-17,credito_vista,890.59,0.025,1,30
bar,2026-06-17,credito_4x,411.04,0.035,4,30
bar,2026-06-18,pix,1180.75,0.0,1,0
bar,2026-06-18,debito,972.38,0.012,1,1
bar,2026-06-18,credito_vista,902.92,0.025,1,30
bar,2026-06-18,credito_4x,416.73,0.035,4,30
bar,2026-06-19,pix,1955.11,0.0,1,0
bar,2026-06-19,debito,1610.09,0.012,1,1
bar,2026-06-19,credito_vista,1495.09,0.025,1,30
bar,2026-06-19,credito_4x,690.04,0.035,4,30
bar,2026-06-20,pix,2467.24,0.0,1,0
bar,2026-06-20,debito,2031.84,0.012,1,1
bar,2026-06-20,credito_vista,1886.71,0.025,1,30
bar,2026-06-20,credito_4x,870.79,0.035,4,30
bar,2026-06-21,pix,772.58,0.0,1,0
bar,2026-06-21,debito,636.24,0.012,1,1
bar,2026-06-21,credito_vista,590.79,0.025,1,30
bar,2026-06-21,credito_4x,272.67,0.035,4,30
bar,2026-06-22,pix,1105.05,0.0,1,0
bar,2026-06-22,debito,910.04,0.012,1,1
bar,2026-06-22,credito_vista,845.04,0.025,1,30
bar,2026-06-22,credito_4x,390.02,0.035,4,30
bar,2026-06-23,pix,992.22,0.0,1,0
bar,2026-06-23,debito,817.12,0.012,1,1
bar,2026-06-23,credito_vista,758.76,0.025,1,30
bar,2026-06-23,credito_4x,350.2,0.035,4,30
bar,2026-06-24,pix,1432.42,0.0,1,0
bar,2026-06-24,debito,1179.64,0.012,1,1
bar,2026-06-24,credito_vista,1095.38,0.025,1,30
bar,2026-06-24,credito_4x,505.56,0.035,4,30
bar,2026-06-25,pix,786.87,0.0,1,0
bar,2026-06-25,debito,648.01,0.012,1,1
bar,2026-06-25,credito_vista,601.73,0.025,1,30
bar,2026-06-25,credito_4x,277.72,0.035,4,30
bar,2026-06-26,pix,1651.1,0.0,1,0
bar,2026-06-26,debito,1359.73,0.012,1,1
bar,2026-06-26,credito_vista,1262.61,0.025,1,30
bar,2026-06-26,credito_4x,582.74,0.035,4,30
bar,2026-06-27,pix,1541.34,0.0,1,0
bar,2026-06-27,debito,1269.34,0.012,1,1
bar,2026-06-27,credito_vista,1178.67,0.025,1,30
bar,2026-06-27,credito_4x,544.0,0.035,4,30
bar,2026-06-28,pix,789.92,0.0,1,0
bar,2026-06-28,debito,650.52,0.012,1,1
bar,2026-06-28,credito_vista,604.06,0.025,1,30
bar,2026-06-28,credito_4x,278.79,0.035,4,30
bar,2026-06-29,pix,934.1,0.0,1,0
bar,2026-06-29,debito,769.26,0.012,1,1
bar,2026-06-29,credito_vista,714.31,0.025,1,30
bar,2026-06-29,credito_4x,329.68,0.035,4,30
bar,2026-06-30,pix,937.96,0.0,1,0
bar,2026-06-30,debito,772.44,0.012,1,1
bar,2026-06-30,credito_vista,717.26,0.025,1,30
bar,2026-06-30,credito_4x,331.05,0.035,4,30
bar,2026-07-01,pix,1282.94,0.0,1,0
bar,2026-07-01,debito,1056.54,0.012,1,1
bar,2026-07-01,credito_vista,981.07,0.025,1,30
bar,2026-07-01,credito_4x,452.8,0.035,4,30
bar,2026-07-02,pix,1322.47,0.0,1,0
bar,2026-07-02,debito,1089.09,0.012,1,1
bar,2026-07-02,credito_vista,1011.3,0.025,1,30
bar,2026-07-02,credito_4x,466.75,0.035,4,30
bar,2026-07-03,pix,2128.53,0.0,1,0
bar,2026-07-03,debito,1752.91,0.012,1,1
bar,2026-07-03,credito_vista,1627.7,0.025,1,30
bar,2026-07-03,credito_4x,751.25,0.035,4,30
bar,2026-07-04,pix,1932.17,0.0,1,0
bar,2026-07-04,debito,1591.2,0.012,1,1
bar,2026-07-04,credito_vista,1477.54,0.025,1,30
bar,2026-07-04,credito_4x,681.94,0.035,4,30
bar,2026-07-05,pix,1100.34,0.0,1,0
bar,2026-07-05,debito,906.16,0.012,1,1
bar,2026-07-05,credito_vista,841.43,0.025,1,30
bar,2026-07-05,credito_4x,388.35,0.035,4,30
bar,2026-07-06,pix,1092.48,0.0,1,0
bar,2026-07-06,debito,899.69,0.012,1,1
bar,2026-07-06,credito_vista,835.43,0.025,1,30
bar,2026-07-06,credito_4x,385.58,0.035,4,30
bar,2026-07-07,pix,1124.88,0.0,1,0
bar,2026-07-07,debito,926.37,0.012,1,1
bar,2026-07-07,credito_vista,860.2,0.025,1,30
bar,2026-07-07,credito_4x,397.02,0.035,4,30
bar,2026-07-08,pix,1304.37,0.0,1,0
bar,2026-07-08,debito,1074.18,0.012,1,1
bar,2026-07-08,credito_vista,997.46,0.025,1,30
bar,2026-07-08,credito_4x,460.36,0.035,4,30
bar,2026-07-09,pix,1403.7,0.0,1,0
bar,2026-07-09,debito,1155.99,0.012,1,1
bar,2026-07-09,credito_vista,1073.42,0.025,1,30
bar,2026-07-09,credito_4x,495.42,0.035,4,30
bar,2026-07-10,pix,2674.38,0.0,1,0
bar,2026-07-10,debito,2202.43,0.012,1,1
bar,2026-07-10,credito_vista,2045.11,0.025,1,30
bar,2026-07-10,credito_4x,943.9,0.035,4,30
bar,2026-07-11,pix,2026.16,0.0,1,0
bar,2026-07-11,debito,1668.6,0.012,1,1
bar,2026-07-11,credito_vista,1549.41,0.025,1,30
bar,2026-07-11,credito_4x,715.11,0.035,4,30
bar,2026-07-12,pix,855.82,0.0,1,0
bar,2026-07-12,debito,704.79,0.012,1,1
bar,2026-07-12,credito_vista,654.45,0.025,1,30
bar,2026-07-12,credito_4x,302.05,0.035,4,30
bar,2026-07-13,pix,794.82,0.0,1,0
bar,2026-07-13,debito,654.56,0.012,1,1
bar,2026-07-13,credito_vista,607.81,0.025,1,30
bar,2026-07-13,credito_4x,280.53,0.035,4,30
bar,2026-07-14,pix,810.52,0.0,1,0
bar,2026-07-14,debito,667.49,0.012,1,1
bar,2026-07-14,credito_vista,619.81,0.025,1,30
bar,2026-07-14,credito_4x,286.07,0.035,4,30
bar,2026-07-15,pix,882.98,0.0,1,0
bar,2026-07-15,debito,727.16,0.012,1,1
bar,2026-07-15,credito_vista,675.22,0.025,1,30
bar,2026-07-15,credito_4x,311.64,0.035,4,30
bar,2026-07-16,pix,1050.39,0.0,1,0
bar,2026-07-16,debito,865.03,0.012,1,1
bar,2026-07-16,credito_vista,803.24,0.025,1,30
bar,2026-07-16,credito_4x,370.73,0.035,4,30
bar,2026-07-17,pix,1828.15,0.0,1,0
bar,2026-07-17,debito,1505.53,0.012,1,1
bar,2026-07-17,credito_vista,1398.0,0.025,1,30
bar,2026-07-17,credito_4x,645.23,0.035,4,30
bar,2026-07-18,pix,2138.68,0.0,1,0
bar,2026-07-18,debito,1761.27,0.012,1,1
bar,2026-07-18,credito_vista,1635.46,0.025,1,30
bar,2026-07-18,credito_4x,754.83,0.035,4,30
bar,2026-07-19,pix,896.81,0.0,1,0
bar,2026-07-19,debito,738.55,0.012,1,1
bar,2026-07-19,credito_vista,685.8,0.025,1,30
bar,2026-07-19,credito_4x,316.52,0.035,4,30
bar,2026-07-20,pix,786.9,0.0,1,0
bar,2026-07-20,debito,648.03,0.012,1,1
bar,2026-07-20,credito_vista,601.74,0.025,1,30
bar,2026-07-20,credito_4x,277.73,0.035,4,30
bar,2026-07-21,pix,1079.87,0.0,1,0
bar,2026-07-21,debito,889.31,0.012,1,1
bar,2026-07-21,credito_vista,825.78,0.025,1,30
bar,2026-07-21,credito_4x,381.13,0.035,4,30
bar,2026-07-22,pix,1196.5,0.0,1,0
bar,2026-07-22,debito,985.36,0.012,1,1
bar,2026-07-22,credito_vista,914.97,0.025,1,30
bar,2026-07-22,credito_4x,422.3,0.035,4,30
bar,2026-07-23,pix,1173.62,0.0,1,0
bar,2026-07-23,debito,966.51,0.012,1,1
bar,2026-07-23,credito_vista,897.47,0.025,1,30
bar,2026-07-23,credito_4x,414.22,0.035,4,30
bar,2026-07-24,pix,1653.68,0.0,1,0
bar,2026-07-24,debito,1361.85,0.012,1,1
bar,2026-07-24,credito_vista,1264.58,0.025,1,30
bar,2026-07-24,credito_4x,583.65,0.035,4,30
bar,2026-07-25,pix,1968.16,0.0,1,0
bar,2026-07-25,debito,1620.84,0.012,1,1
bar,2026-07-25,credito_vista,1505.07,0.025,1,30
bar,2026-07-25,credito_4x,694.65,0.035,4,30
bar,2026-07-26,pix,817.15,0.0,1,0
bar,2026-07-26,debito,672.95,0.012,1,1
bar,2026-07-26,credito_vista,624.88,0.025,1,30
bar,2026-07-26,credito_4x,288.41,0.035,4,30
bar,2026-07-27,pix,621.43,0.0,1,0
bar,2026-07-27,debito,511.77,0.012,1,1
bar,2026-07-27,credito_vista,475.21,0.025,1,30
bar,2026-07-27,credito_4x,219.33,0.035,4,30
bar,2026-07-28,pix,840.99,0.0,1,0
bar,2026-07-28,debito,692.58,0.012,1,1
bar,2026-07-28,credito_vista,643.11,0.025,1,30
bar,2026-07-28,credito_4x,296.82,0.035,4,30
bar,2026-07-29,pix,999.71,0.0,1,0
bar,2026-07-29,debito,823.29,0.012,1,1
bar,2026-07-29,credito_vista,764.48,0.025,1,30
bar,2026-07-29,credito_4x,352.84,0.035,4,30
bar,2026-07-30,pix,928.99,0.0,1,0
bar,2026-07-30,debito,765.05,0.012,1,1
bar,2026-07-30,credito_vista,710.4,0.025,1,30
bar,2026-07-30,credito_4x,327.88,0.035,4,30
bar,2026-07-31,pix,1684.01,0.0,1,0
bar,2026-07-31,debito,1386.83,0.012,1,1
bar,2026-07-31,credito_vista,1287.77,0.025,1,30
bar,2026-07-31,credito_4x,594.36,0.035,4,30
bar,2026-08-01,pix,1724.55,0.0,1,0
bar,2026-08-01,debito,1420.22,0.012,1,1
bar,2026-08-01,credito_vista,1318.77,0.025,1,30
bar,2026-08-01,credito_4x,608.67,0.035,4,30
bar,2026-08-02,pix,1157.32,0.0,1,0
bar,2026-08-02,debito,953.08,0.012,1,1
bar,2026-08-02,credito_vista,885.01,0.025,1,30
bar,2026-08-02,credito_4x,408.46,0.035,4,30
bar,2026-08-03,pix,1256.45,0.0,1,0
bar,2026-08-03,debito,1034.72,0.012,1,1
bar,2026-08-03,credito_vista,960.81,0.025,1,30
bar,2026-08-03,credito_4x,443.45,0.035,4,30
bar,2026-08-04,pix,1089.85,0.0,1,0
bar,2026-08-04,debito,897.53,0.012,1,1
bar,2026-08-04,credito_vista,833.42,0.025,1,30
bar,2026-08-04,credito_4x,384.65,0.035,4,30
bar,2026-08-05,pix,1352.4,0.0,1,0
bar,2026-08-05,debito,1113.74,0.012,1,1
bar,2026-08-05,credito_vista,1034.19,0.025,1,30
bar,2026-08-05,credito_4x,477.32,0.035,4,30
bar,2026-08-06,pix,914.29,0.0,1,0
bar,2026-08-06,debito,752.95,0.012,1,1
bar,2026-08-06,credito_vista,699.17,0.025,1,30
bar,2026-08-06,credito_4x,322.69,0.035,4,30
bar,2026-08-07,pix,1804.66,0.0,1,0
bar,2026-08-07,debito,1486.19,0.012,1,1
bar,2026-08-07,credito_vista,1380.03,0.025,1,30
bar,2026-08-07,credito_4x,636.94,0.035,4,30
bar,2026-08-08,pix,2300.79,0.0,1,0
bar,2026-08-08,debito,1894.77,0.012,1,1
bar,2026-08-08,credito_vista,1759.43,0.025,1,30
bar,2026-08-08,credito_4x,812.04,0.035,4,30
bar,2026-08-09,pix,882.79,0.0,1,0
bar,2026-08-09,debito,727.0,0.012,1,1
bar,2026-08-09,credito_vista,675.07,0.025,1,30
bar,2026-08-09,credito_4x,311.57,0.035,4,30
bar,2026-08-10,pix,1163.56,0.0,1,0
bar,2026-08-10,debito,958.23,0.012,1,1
bar,2026-08-10,credito_vista,889.79,0.025,1,30
bar,2026-08-10,credito_4x,410.67,0.035,4,30
bar,2026-08-11,pix,1329.06,0.0,1,0
bar,2026-08-11,debito,1094.52,0.012,1,1
bar,2026-08-11,credito_vista,1016.34,0.025,1,30
bar,2026-08-11,credito_4x,469.08,0.035,4,30
bar,2026-08-12,pix,953.57,0.0,1,0
bar,2026-08-12,debito,785.29,0.012,1,1
bar,2026-08-12,credito_vista,729.2,0.025,1,30
bar,2026-08-12,credito_4x,336.55,0.035,4,30
bar,2026-08-13,pix,1130.53,0.0,1,0
bar,2026-08-13,debito,931.03,0.012,1,1
bar,2026-08-13,credito_vista,864.53,0.025,1,30
bar,2026-08-13,credito_4x,399.01,0.035,4,30
bar,2026-08-14,pix,2041.28,0.0,1,0
bar,2026-08-14,debito,1681.05,0.012,1,1
bar,2026-08-14,credito_vista,1560.98,0.025,1,30
bar,2026-08-14,credito_4x,720.45,0.035,4,30
bar,2026-08-15,pix,2698.93,0.0,1,0
bar,2026-08-15,debito,2222.65,0.012,1,1
bar,2026-08-15,credito_vista,2063.89,0.025,1,30
bar,2026-08-15,credito_4x,952.56,0.035,4,30
bar,2026-08-16,pix,775.91,0.0,1,0
bar,2026-08-16,debito,638.98,0.012,1,1
bar,2026-08-16,credito_vista,593.34,0.025,1,30
bar,2026-08-16,credito_4x,273.85,0.035,4,30
bar,2026-08-17,pix,984.74,0.0,1,0
bar,2026-08-17,debito,810.96,0.012,1,1
bar,2026-08-17,credito_vista,753.04,0.025,1,30
bar,2026-08-17,credito_4x,347.56,0.035,4,30
bar,2026-08-18,pix,1293.83,0.0,1,0
bar,2026-08-18,debito,1065.51,0.012,1,1
bar,2026-08-18,credito_vista,989.4,0.025,1,30
bar,2026-08-18,credito_4x,456.65,0.035,4,30
bar,2026-08-19,pix,865.61,0.0,1,0
bar,2026-08-19,debito,712.86,0.012,1,1
bar,2026-08-19,credito_vista,661.94,0.025,1,30
bar,2026-08-19,credito_4x,305.51,0.035,4,30
bar,2026-08-20,pix,1038.09,0.0,1,0
bar,2026-08-20,debito,854.9,0.012,1,1
bar,2026-08-20,credito_vista,793.84,0.025,1,30
bar,2026-08-20,credito_4x,366.39,0.035,4,30
bar,2026-08-21,pix,1835.22,0.0,1,0
bar,2026-08-21,debito,1511.36,0.012,1,1
bar,2026-08-21,credito_vista,1403.4,0.025,1,30
bar,2026-08-21,credito_4x,647.72,0.035,4,30
bar,2026-08-22,pix,1992.0,0.0,1,0
bar,2026-08-22,debito,1640.47,0.012,1,1
bar,2026-08-22,credito_vista,1523.3,0.025,1,30
bar,2026-08-22,credito_4x,703.06,0.035,4,30
bar,2026-08-23,pix,1059.71,0.0,1,0
bar,2026-08-23,debito,872.7,0.012,1,1
bar,2026-08-23,credito_vista,810.36,0.025,1,30
bar,2026-08-23,credito_4x,374.01,0.035,4,30
bar,2026-08-24,pix,978.05,0.0,1,0
bar,2026-08-24,debito,805.46,0.012,1,1
bar,2026-08-24,credito_vista,747.92,0.025,1,30
bar,2026-08-24,credito_4x,345.2,0.035,4,30
bar,2026-08-25,pix,667.31,0.0,1,0
bar,2026-08-25,debito,549.55,0.012,1,1
bar,2026-08-25,credito_vista,510.29,0.025,1,30
bar,2026-08-25,credito_4x,235.52,0.035,4,30
bar,2026-08-26,pix,1109.56,0.0,1,0
bar,2026-08-26,debito,913.75,0.012,1,1
bar,2026-08-26,credito_vista,848.49,0.025,1,30
bar,2026-08-26,credito_4x,391.61,0.035,4,30
bar,2026-08-27,pix,1050.62,0.0,1,0
bar,2026-08-27,debito,865.21,0.012,1,1
bar,2026-08-27,credito_vista,803.41,0.025,1,30
bar,2026-08-27,credito_4x,370.81,0.035,4,30
bar,2026-08-28,pix,2089.81,0.0,1,0
bar,2026-08-28,debito,1721.02,0.012,1,1
bar,2026-08-28,credito_vista,1598.09,0.025,1,30
bar,2026-08-28,credito_4x,737.58,0.035,4,30
bar,2026-08-29,pix,1752.46,0.0,1,0
bar,2026-08-29,debito,1443.2,0.012,1,1
bar,2026-08-29,credito_vista,1340.12,0.025,1,30
bar,2026-08-29,credito_4x,618.52,0.035,4,30
bar,2026-08-30,pix,765.04,0.0,1,0
bar,2026-08-30,debito,630.03,0.012,1,1
bar,2026-08-30,credito_vista,585.03,0.025,1,30
bar,2026-08-30,credito_4x,270.01,0.035,4,30
bar,2026-08-31,pix,913.86,0.0,1,0
bar,2026-08-31,debito,752.59,0.012,1,1
bar,2026-08-31,credito_vista,698.83,0.025,1,30
bar,2026-08-31,credito_4x,322.54,0.035,4,30
bar,2026-09-01,pix,1232.76,0.0,1,0
bar,2026-09-01,debito,1015.21,0.012,1,1
bar,2026-09-01,credito_vista,942.7,0.025,1,30
bar,2026-09-01,credito_4x,435.09,0.035,4,30
bar,2026-09-02,pix,1337.09,0.0,1,0
bar,2026-09-02,debito,1101.14,0.012,1,1
bar,2026-09-02,credito_vista,1022.48,0.025,1,30
bar,2026-09-02,credito_4x,471.92,0.035,4,30
bar,2026-09-03,pix,1045.6,0.0,1,0
bar,2026-09-03,debito,861.08,0.012,1,1
bar,2026-09-03,credito_vista,799.58,0.025,1,30
bar,2026-09-03,credito_4x,369.04,0.035,4,30
bar,2026-09-04,pix,2307.02,0.0,1,0
bar,2026-09-04,debito,1899.9,0.012,1,1
bar,2026-09-04,credito_vista,1764.19,0.025,1,30
bar,2026-09-04,credito_4x,814.24,0.035,4,30
bar,2026-09-05,pix,1988.99,0.0,1,0
bar,2026-09-05,debito,1637.99,0.012,1,1
bar,2026-09-05,credito_vista,1520.99,0.025,1,30
bar,2026-09-05,credito_4x,702.0,0.035,4,30
bar,2026-09-06,pix,1065.75,0.0,1,0
bar,2026-09-06,debito,877.67,0.012,1,1
bar,2026-09-06,credito_vista,814.98,0.025,1,30
bar,2026-09-06,credito_4x,376.15,0.035,4,30
bar,2026-09-07,pix,809.15,0.0,1,0
bar,2026-09-07,debito,666.36,0.012,1,1
bar,2026-09-07,credito_vista,618.76,0.025,1,30
